Spanish,English
justificar,to justify
mente; la mente,mind
opinar,to give an opinion; to think
plantear,to raise; to pose
pretender,to intend; to claim
razonar,to reason; to think through
reconocimiento; el reconocimiento,recognition; acknowledgment
referirse,to refer; to be about
reflexión; la reflexión,reflection; thought
resumir,to summarize; to sum up
sospecha; la sospecha,suspicion
sugerencia; la sugerencia,suggestion
tener en cuenta,to take into account
apariencia; la apariencia,appearance; looks
borroso,blurry; hazy
brillo; el brillo,shine; sparkle
ciego,blind
claridad; la claridad,clarity; brightness
despierto,awake; alert
aroma; el aroma,aroma; scent
intuir,to sense; to have a hunch
llamativo,striking; eye-catching
mirada; la mirada,look; gaze
oído; el oído,hearing; inner ear
oler,to smell
olfato; el olfato,sense of smell
percepción; la percepción,perception
percibir,to perceive; to notice
presenciar,to witness; to attend
saborear,to savor; to relish
sensación; la sensación,feeling; sensation
susurrar,to whisper
silencioso,silent; quiet
sordo,deaf; muffled
tacto; el tacto,touch; tact
tono; el tono,tone; shade
transparente,transparent; clear
visible,visible
contemplar,to contemplate; to gaze at
rozar,to brush against; to graze
echar un vistazo,to take a look
sorprendente,surprising
inesperado,unexpected
impresionante,impressive; stunning
abusar,to abuse; to misuse
actuar,to act; to take action
aprovecharse,to take advantage; to exploit
burlarse,to make fun; to mock
callarse,to be quiet; to stop talking
ceder,to give in; to give way
comportarse,to behave; to conduct oneself
conducta; la conducta,conduct; behavior
disimular,to conceal; to pretend
distraerse,to get distracted; to unwind
empeñarse,to be set on; to persist
engaño; el engaño,deception; trick
esforzarse,to make an effort; to try hard
exagerar,to exaggerate; to overdo
presumir,to show off; to presume
hacer caso,to pay attention; to take notice
imitar,to imitate; to copy
insistir,to insist
interrumpir,to interrupt; to cut off
intervenir,to intervene; to take part
llamar la atención,to attract attention; to tell off
negarse,to refuse
obedecer,to obey
ofender,to offend
oponerse,to oppose; to object
perjudicar,to harm; to damage
reaccionar,to react
resistir,to resist; to withstand
soportar,to bear; to put up with
tolerar,to tolerate; to allow
traición; la traición,betrayal; treason
vengarse,to take revenge
obra maestra; la obra maestra,masterpiece
lienzo; el lienzo,canvas
retrato; el retrato,portrait
escultura; la escultura,sculpture
pincel; el pincel,paintbrush
boceto; el boceto,sketch; rough draft
galería; la galería,gallery
estatua; la estatua,statue
artesanía; la artesanía,handicraft; craftwork
ilustración; la ilustración,illustration
colección; la colección,collection
restauración; la restauración,restoration
inspiración; la inspiración,inspiration
estilo; el estilo,style
largometraje; el largometraje,feature film
inauguración; la inauguración,opening; inauguration
inaugurar,to open; to inaugurate
exhibir,to exhibit; to display
inspirar,to inspire
representar,to represent; to stage
reflejar,to reflect
interpretación; la interpretación,interpretation; rendition
estreno; el estreno,premiere; opening night
estrenar,to premiere; to use for the first time
guion; el guion,script; screenplay
guionista; el guionista,scriptwriter
protagonista; el protagonista,main character; lead
escenario; el escenario,stage; setting
escena; la escena,scene
taquilla; la taquilla,box office; locker
aplauso; el aplauso,applause
aplaudir,to applaud; to clap
crítica; la crítica,criticism; critique
reseña; la reseña,review; write-up
rodaje; el rodaje,filming; shooting
rodar,to film; to shoot
subtítulo; el subtítulo,subtitle
banda sonora; la banda sonora,soundtrack
melodía; la melodía,melody; tune
ritmo; el ritmo,rhythm; pace
compositor; el compositor,composer
componer,to compose; to put together
actuación; la actuación,performance; acting
orquesta; la orquesta,orchestra
doblaje; el doblaje,dubbing
capítulo; el capítulo,episode; chapter
poeta; el poeta,poet
relato; el relato,short story; account
narrar,to narrate; to tell
editorial; la editorial,publishing house
editar,to publish; to edit
lectura; la lectura,reading
letra; la letra,lyrics; handwriting
identidad; la identidad,identity
mito; el mito,myth
leyenda; la leyenda,legend
ritual; el ritual,ritual
ceremonia; la ceremonia,ceremony
desfile; el desfile,parade; procession
carnaval; el carnaval,carnival
disfraz; el disfraz,costume; disguise
disfrazarse,to dress up; to disguise oneself
gastronomía; la gastronomía,cuisine; gastronomy
refrán; el refrán,proverb; adage
dicho; el dicho,saying; expression
raíz; la raíz,root
religión; la religión,religion
creyente; el creyente,believer
misa; la misa,mass
rezar,to pray
oración; la oración,prayer; sentence
capilla; la capilla,chapel
santo; el santo,saint; name day
homenaje; el homenaje,tribute
aniversario; el aniversario,anniversary
conmemorar,to commemorate
celebración; la celebración,celebration
enseñanza; la enseñanza,teaching; education
docente; el docente,teacher; lecturer
aula; el aula,classroom
manual; el manual,textbook; manual
vocabulario; el vocabulario,vocabulary
gramática; la gramática,grammar
ortografía; la ortografía,spelling
acento; el acento,accent; stress
pronunciación; la pronunciación,pronunciation
traducción; la traducción,translation
redactar,to write up; to draft
destreza; la destreza,skill; dexterity
evaluación; la evaluación,assessment; evaluation
calificación; la calificación,grade; mark
repaso; el repaso,revision; recap
ausencia; la ausencia,absence
matrícula; la matrícula,enrollment; tuition fee
inscribirse,to sign up; to enroll
licenciatura; la licenciatura,undergraduate degree
máster; el máster,master's degree
doctorado; el doctorado,doctorate
tesis; la tesis,thesis
instituto; el instituto,secondary school; institute
facultad; la facultad,faculty; ability
conferencia; la conferencia,lecture; conference
premiar,to reward; to give a prize to
superar,to overcome; to pass
imperio; el imperio,empire
reino; el reino,kingdom
corona; la corona,crown
trono; el trono,throne
emperador; el emperador,emperor
nobleza; la nobleza,nobility
campesino; el campesino,peasant; farmer
esclavo; el esclavo,slave
esclavitud; la esclavitud,slavery
conquista; la conquista,conquest
conquistar,to conquer
colonia; la colonia,colony
invasión; la invasión,invasion
batalla; la batalla,battle
fortaleza; la fortaleza,fortress; strength
derrota; la derrota,defeat
derrotar,to defeat
victoria; la victoria,victory
hazaña; la hazaña,feat; exploit
rebelión; la rebelión,rebellion
posguerra; la posguerra,post-war period
descubrimiento; el descubrimiento,discovery
civilización; la civilización,civilization
antigüedad; la antigüedad,antiquity; age
ruina; la ruina,ruin
surgir,to emerge; to arise
etapa; la etapa,phase; period
medieval,medieval
contemporáneo,contemporary
itinerario; el itinerario,itinerary
recorrido; el recorrido,journey; tour
recorrer,to travel around; to cover
ruta; la ruta,route
escala; la escala,stopover; scale
embarcar,to board; to embark
aterrizar,to land
despegar,to take off
tripulación; la tripulación,crew
visado; el visado,visa
estancia; la estancia,stay
alojarse,to stay; to be put up
camping; el camping,campsite
crucero; el crucero,cruise
senderismo; el senderismo,hiking
sendero; el sendero,path; trail
mirador; el mirador,viewpoint
temporada; la temporada,season
turístico,tourist; touristy
peaje; el peaje,toll
atasco; el atasco,traffic jam
desplazarse,to travel; to get around
trasladarse,to move; to relocate
retrasarse,to be delayed; to be late
inolvidable,unforgettable
pintoresco,picturesque
entrenamiento; el entrenamiento,training
calentamiento; el calentamiento,warm-up
resistencia; la resistencia,stamina; resistance
lesionarse,to get injured
delantero; el delantero,forward; striker
árbitro; el árbitro,referee
penalti; el penalti,penalty kick
marcador; el marcador,scoreboard; score
falta; la falta,foul; lack
pista; la pista,court; track; clue
empate; el empate,draw; tie
empatar,to draw; to tie
clasificación; la clasificación,ranking; classification
clasificarse,to qualify
torneo; el torneo,tournament
liga; la liga,league
medalla; la medalla,medal
récord; el récord,record
