Japanese,Kana,English
会見,かいけん,interview; conference
介護,かいご,nursing
開催,かいさい,holding a meeting; open an exhibition
回収,かいしゅう,collection; recovery
改修,かいしゅう,repair; improvement
怪獣,かいじゅう,monster
解除,かいじょ,cancellation; release; cancel
外相,がいしょう,Foreign Minister
害する,がいする,to harm; to offend
概説,がいせつ,general statement; outline
回送,かいそう,forwarding
階層,かいそう,class; level; stratum; hierarchy
開拓,かいたく,cultivation; pioneer
会談,かいだん,conversation; interview
改定,かいてい,reform
改訂,かいてい,revision
ガイド,ガイド,guide
街道,かいどう,highway
該当,がいとう,corresponding; answering to; coming under
街頭,がいとう,in the street
ガイドブック,ガイドブック,guidebook
介入,かいにゅう,intervention
概念,がいねん,general idea; concept; notion
開発,かいはつ,development; exploitation
海抜,かいばつ,height above sea level
介抱,かいほう,nursing; looking after
解剖,かいぼう,dissection; autopsy
外来,がいらい,(abbr.) imported; outpatient clinic
回覧,かいらん,circulation
概略,がいりゃく,outline; summary; gist
海流,かいりゅう,ocean current
改良,かいりょう,improvement; reform
回路,かいろ,circuit (electric)
海路,かいろ,sea route
省みる,かえりみる,to reflect
顧みる,かえりみる,to look back; to turn around; to review
顔付き,かおつき,facial expression
課外,かがい,extracurricular
掲げる,かかげる,to hoist; to fly (a sail); to float (a flag)
かかと,かかと,shoe heel
書き取る,かきとる,to write down; to take dictation
掻き回す,かきまわす,to stir up; to churn; to disturb
かく (はじを),かく (はじを),to humiliate oneself
～画,～かく,~ strokes
学芸,がくげい,arts and sciences; liberal arts
格差,かくさ,difference; disparity
拡散,かくさん,scattering; diffusion
学士,がくし,university graduate
各種,かくしゅ,every kind; all sorts
隔週,かくしゅう,every other week
確信,かくしん,conviction; confidence
革新,かくしん,reform; innovation
学説,がくせつ,theory
確定,かくてい,fixed; decision
カクテル,カクテル,cocktail
獲得,かくとく,acquisition; possession
楽譜,がくふ,score (music sheet music)
確保,かくほ,guarantee; insure; secure
革命,かくめい,revolution
確立,かくりつ,establishment
賭,かけ,betting; gambling; a gamble
掛～,かけ～,credit
～掛け,～かけ,rack; hanger
崖,がけ,cliff
駆け足,かけあし,running fast; double time
家計,かけい,household economy; family finances
駆けっこ,かけっこ,(foot) race
加工,かこう,manufacturing; processing; treatment
化合,かごう,chemical combination
かさばる,かさばる,to be bulky
かさむ,かさむ,to pile up; to increase
箇条書,かじょうがき,itemized form; itemization
頭,かしら,head; chief
微か,かすか,faint; dim; weak
霞む,かすむ,to grow hazy; to be misty
擦る,かする,to rub; to chafe
火星,かせい,Mars
化石,かせき,fossil; petrifaction; fossilization
河川,かせん,rivers
化繊,かせん,synthetic fibers
過疎,かそ,depopulation
片～,かた～,single ~
片言,かたこと,broken (in reference to speaking style e.g. Japanese)
傾ける,かたむける,to incline; to tilt; to bend
固める,かためる,to harden; to freeze; to fortify
傍ら,かたわら,beside(s while nearby
花壇,かだん,flower bed
家畜,かちく,domestic animals; livestock; cattle
且つ,かつ,yet; and
がっくり,がっくり,heartbroken
合唱,がっしょう,chorus; singing in a chorus
がっしり,がっしり,firmly; solidly; tough
合致,がっち,agreement; concurrence; conforming to
がっちり,がっちり,solidly built; tightly
かつて,かつて,once; before; formerly
勝手,かって,kitchen; one's way; selfishness
カット,カット,cut; cutting
活発,かっぱつ,vigor; active
合併,がっぺい,combination; amalgamation; merger
カテゴリー,カテゴリー,category
叶う,かなう,to come true
叶える,かなえる,to grant (request wish)
金槌,かなづち,(iron) hammer
かなわない,かなわない,be beyond one's power; be unable
加入,かにゅう,becoming a member; admission
予て,かねて,previously; already; lately
庇う,かばう,to protect someone; to&nbsp; &nbsp; cover up for someone
株式,かぶしき,stock
かぶれる,かぶれる,to react to; to be influenced by
花粉,かふん,pollen
貨幣,かへい,money; currency; coinage
構える,かまえる,to set up
過密,かみつ,crowded
噛み切る,かみきる,to bite off; to gnaw through
カムバック,カムバック,comeback
カメラマン,カメラマン,cameraman
粥,かゆ,rice porridge
体付き,からだつき,body build; figure
絡む,からむ,to entangle; to entwine
かりに,かりに,temporarily; if; for argument's sake
カルテ,カルテ,clinical records (GER: Karte)
ガレージ,ガレージ,garage (at house)
過労,かろう,overwork; strain
かろうじて,かろうじて,barely; narrowly
交す,かわす,to exchange
代る代る,かわるがわる,alternately
簡易,かんい,simplicity; easiness; quasi-
灌漑,かんがい,irrigation
眼科,がんか,ophthalmology
眼球,がんきゅう,eyeball
玩具,がんぐ,toy
簡潔,かんけつ,brevity; concise; simple
還元,かんげん,resolution; reduction; return
看護,かんご,nursing
漢語,かんご,Chinese word; Sino-Japanese word
頑固,がんこ,stubbornness; obstinacy
勧告,かんこく,advice; counsel
換算,かんさん,conversion; change; exchange
監視,かんし,observation; guarding; surveillance
慣習,かんしゅう,usual (historical) custom
観衆,かんしゅう,spectators; audience
願書,がんしょ,application form
干渉,かんしょう,interference; intervention
頑丈,がんじょう,solid; firm; strong
感触,かんしょく,sense of touch; feeling; sensation
肝心,かんじん,essential; fundamental; crucial
肝腎,かんじん,essential; fundamental; crucial
関税,かんぜい,customs; duty; tariff
岩石,がんせき,rock
感染,かんせん,infection; contagion
幹線,かんせん,main line; trunk line
簡素,かんそ,simplicity; plain
観点,かんてん,point of view
感度,かんど,sensitivity; severity (quake)
カンニング,カンニング,cunning; cheat
元年,がんねん,first year (of a specific reign)
幹部,かんぶ,management; executive
完ぺき,かんぺき,perfection; completeness; flawless
勘弁,かんべん,pardon; forgiveness; forbearance
感無量,かんむりょう,deep feeling; filled with emotion
勧誘,かんゆう,invitation; canvassing; inducement
関与,かんよ,participation; taking part in
寛容,かんよう,forbearance; tolerance; generosity; involvement
元来,がんらい,originally; naturally
観覧,かんらん,viewing
慣例,かんれい,custom; precedent; of convention
還暦,かんれき,60th birthday
貫禄,かんろく,presence; dignity
緩和,かんわ,relief; mitigation
議案,ぎあん,legislative bill
危害,きがい,injury; harm; danger
企画,きかく,planning; project
規格,きかく,standard; norm
着飾る,きかざる,to dress up
気兼ね,きがね,hesitance; diffidence; feeling constraint
気軽,きがる,cheerful; buoyant; lighthearted
危機,きき,crisis
聞き取り,ききとり,listening comprehension
効き目,ききめ,effect; virtue; efficacy
帰京,ききょう,returning to Tokyo
戯曲,ぎきょく,play; drama
基金,ききん,fund; foundation
喜劇,きげき,comedy; funny show
議決,ぎけつ,resolution; decision; vote
棄権,きけん,abstain from voting; renunciation of a right
既婚,きこん,married
気障,きざ,affectation; conceit; snobbery
記載,きさい,mention; entry
兆,きざし,sign; omen; indication
気質,きしつ,character; trait; temperament
期日,きじつ,fixed date; settlement date
きしむ,きしむ,to jar; to creak; to grate
議事堂,ぎじどう,Diet building
記述,きじゅつ,describing; descriptor
気象,きしょう,weather; climate
傷付く,きずつく,to be hurt; to be wounded; to get injured
傷付ける,きずつける,to wound; to hurt someone's feelings
犠牲,ぎせい,sacrifice
汽船,きせん,steamship
寄贈,きぞう,donation; presentation
偽造,ぎぞう,forgery; fabrication; counterfeiting
貴族,きぞく,noble; aristocrat
議題,ぎだい,topic of discussion; agenda
鍛える,きたえる,to forge; to train; to discipline
気立て,きだて,good-natured; kind-hearted
来る,きたる,to come; to approach
きちっと,きちっと,exactly; perfectly
几帳面,きちょうめん,methodical; punctual; steady
きっかり,きっかり,exactly; precisely
きっちり,きっちり,precisely; tightly
きっぱり,きっぱり,clearly; plainly; distinctly
規定,きてい,regulation; provisions
起点,きてん,starting point
軌道,きどう,orbit; track
技能,ぎのう,technical skill; ability; capacity
規範,きはん,model; standard; example
気品,きひん,grace; elegance
気風,きふう,character; traits; ethos
起伏,きふく,undulation
規模,きぼ,scale; scope; plan; structure
気まぐれ,きまぐれ,whim; caprice; uneven temper
生真面目,きまじめ,serious; sincerity
期末,きまつ,(end of the season or term)
きまりわるい,きまりわるい,feeling awkward; being ashamed
記名,きめい,signature; register
規約,きやく,agreement; rules; code
脚色,きゃくしょく,dramatization (e.g. film
逆転,ぎゃくてん,(sudden) change; reversal; turn-around
脚本,きゃくほん,scenario
華奢,きゃしゃ,delicate; slender
客観,きゃっかん,objective
キャッチ,キャッチ,catch
キャリア,キャリア,career; career government employee
救援,きゅうえん,relief; rescue; reinforcement
休学,きゅうがく,temporary absence from school; suspension
究極,きゅうきょく,ultimate; final; eventual
窮屈,きゅうくつ,narrow; tight; formal
球根,きゅうこん,(plant) bulb
救済,きゅうさい,relief; aid; rescue
給仕,きゅうじ,waiter
給食,きゅうしょく,school lunch; providing a meal
休戦,きゅうせん,truce; armistice
宮殿,きゅうでん,palace
旧知,きゅうち,old friend; old friendship
窮乏,きゅうぼう,poverty
寄与,きよ,contribution; service
強,きょう,strong
～狂,～きょう,maniac; fan; freak
驚異,きょうい,wonder; miracle
教科,きょうか,subject; curriculum
協会,きょうかい,association; society; organization
共学,きょうがく,coeducation
共感,きょうかん,sympathy; response
境遇,きょうぐう,environment; circumstances
教訓,きょうくん,lesson; precept; moral instruction
強行,きょうこう,forcing; enforcement
強硬,きょうこう,firm; vigorous; stubborn
教材,きょうざい,teaching materials
凶作,きょうさく,bad harvest; poor crop
業者,ぎょうしゃ,trader; merchant
教習,きょうしゅう,training; instruction
郷愁,きょうしゅう,nostalgia; homesickness
教職,きょうしょく,teaching profession
興じる,きょうじる,to amuse oneself; to make merry
強制,きょうせい,obligation; compulsion; enforcement
行政,ぎょうせい,administration
業績,ぎょうせき,achievement; work; contribution
共存,きょうぞん,coexistence
協定,きょうてい,arrangement; pact; agreement
郷土,きょうど,homeland
脅迫,きょうはく,threat; coercion
業務,ぎょうむ,business; duties; work
共鳴,きょうめい,resonance; sympathy
郷里,きょうり,birth-place; home town
強烈,きょうれつ,strong; intense; severe
共和,きょうわ,republicanism; cooperation
局限,きょくげん,limit; localize
極端,きょくたん,extreme; extremity
居住,きょじゅう,residence
拒絶,きょぜつ,refusal; rejection
漁船,ぎょせん,fishing boat
漁村,ぎょそん,fishing village
拒否,きょひ,denial; rejection; refusal
許容,きょよう,permission; pardon
清らか,きよらか,clean; pure; chaste
きらびやか,きらびやか,gorgeous; gaudy; dazzling
～きり,～きり,only
義理,ぎり,debt of gratitude; obligation
切替,きりかえ,exchange; conversion; switchover
気流,きりゅう,atmospheric current
切れ目,きれめ,break; pause; gap
疑惑,ぎわく,doubt; misgivings; suspicion
極めて,きわめて,exceedingly; extremely (written expression)
近眼,きんがん,nearsightedness
緊急,きんきゅう,urgent; pressing; emergency
近郊,きんこう,suburbs; outskirts
均衡,きんこう,equilibrium; balance
禁じる,きんじる,to prohibit
勤勉,きんべん,industry; diligence
吟味,ぎんみ,examination; careful investigation
勤務,きんむ,service; duty; work
禁物,きんもつ,taboo; forbidden thing
勤労,きんろう,labor; exertion; diligent service
クイズ,クイズ,quiz
食い違う,くいちがう,to cross each other; to differ
空間,くうかん,space; room; airspace
空腹,くうふく,hunger
区画,くかく,division; section; area
区間,くかん,section
茎,くき,stalk
区切り,くぎり,an end; a stop; punctuation
くぐる,くぐる,to pass through; to go around
くじ (～をひく),くじ (～をひく),lottery; lot
くじびき,くじびき,lottery; drawn lot
くすぐったい,くすぐったい,ticklish
愚痴,ぐち,idle complaint; grumble
口吟む,くちずさむ,to hum; to sing to oneself
嘴,くちばし,beak; bill
朽ちる,くちる,to rot
覆す,くつがえす,to overturn; to upset; to overthrow
くっきり,くっきり,distinctly; clearly; boldly
屈折,くっせつ,bending; indentation; refraction
ぐっと,ぐっと,firmly; fast; more
首飾り,くびかざり,necklace
首輪,くびわ,necklace; choker
組み込む,くみこむ,to insert; to include; to cut in (printing)
組み合わせる,くみあわせる,to join together; to combine; to join up
蔵,くら,warehouse; cellar
グレー,グレー,grey; gray
クレーン,クレーン,crane
玄人,くろうと,expert; professional
黒字,くろじ,balance (figure) in the black
軍艦,ぐんかん,warship; battleship
軍事,ぐんじ,military affairs
君主,くんしゅ,ruler; monarch
群集,ぐんしゅう,(social) group; crowd; mob
群衆,ぐんしゅう,(social) group; crowd; mob
軍備,ぐんび,armaments; military preparations
軍服,ぐんぷく,military or naval uniform
芸,げい,art; accomplishment; performance
経過,けいか,passage; progress
軽快,けいかい,lively; casual; light
警戒,けいかい,warning; admonition; vigilance
敬具,けいぐ,Sincerely (used at the end of letter)
軽減,けいげん,reduction; lessening
掲載,けいさい,appearance (e.g. article in paper)
傾斜,けいしゃ,inclination; slope; dip
形成,けいせい,formation
形勢,けいせい,condition; situation; prospects
軽率,けいそつ,thoughtless; careless; hasty
刑罰,けいばつ,judgment; penalty; punishment
経費,けいひ,expenses; cost; outlay
警部,けいぶ,police inspector
転換,てんかん,convert; divert
転居,てんきょ,moving; changing residence
転勤,てんきん,transfer (to another office of a company)
点検,てんけん,inspection; examination; checking
電源,でんげん,source of electricity; power (e.g. button on TV)
天国,てんごく,paradise; heaven; Kingdom of Heaven
天才,てんさい,a genius
天災,てんさい,natural calamity; disaster
展示,てんじ,exhibition; display
伝説,でんせつ,tradition; legend; folklore
点線,てんせん,dotted line
転じる,てんじる,to turn; to shift
転ずる,てんずる,to turn; to shift
天体,てんたい,heavenly body
伝達,でんたつ,transmission (e.g. news communication delivery)
天地,てんち,heaven and earth; the universe
てんで,てんで,(not) at all; altogether; entirely
転任,てんにん,change of post
展望,てんぼう,view; outlook; prospect
伝来,でんらい,ancestral; hereditary; imported
転落,てんらく,fall; degradation
問い合わせる,といあわせる,to inquire; to seek information
当～,とう～,Our ~ (e.g. Hotel plane etc.)
胴,どう,trunk; body; frame
同意,どうい,agreement; consent; same meaning
動員,どういん,mobilization
同感,どうかん,agreement; same opinion; same feeling
陶器,とうき,pottery; ceramics
討議,とうぎ,debate; discussion
動機,どうき,motive; incentive
等級,とうきゅう,grade; class
同級,どうきゅう,the same grade; same class
同居,どうきょ,living together
登校,とうこう,attendance (at school)
統合,とうごう,integration; unification; synthesis
動向,どうこう,trend; tendency; movement; attitude
投資,とうし,investment
同情,どうじょう,sympathy; compassion; sympathize
道場,どうじょう,(arch) dojo; hall used for martial arts training; mandala
統制,とうせい,regulation; control
当選,とうせん,being elected; winning the prize
逃走,とうそう,flight; desertion; escape
統率,とうそつ,command; generalship; leadership
到達,とうたつ,reaching; attaining; arrival
統治,とうち,rule; reign; governing
仕切る,しきる,to partition; to divide; to mark off
資金,しきん,funds; capital
軸,じく,axis; stem; shaft
しくじる,しくじる,to fail; to fall through; to blunder
仕組,しくみ,structure; mechanism
死刑,しけい,death penalty
湿気る,しける,to be damp; to be moist
施行,しこう,enforcement; operation
思考,しこう,thought
志向,しこう,intention; aim
嗜好,しこう,taste; liking; preference
事項,じこう,matter(s); item(s); facts
時刻表,じこくひょう,timetable; (train) schedule
地獄,じごく,hell
時差,じさ,time difference
自在,じざい,freely; at will
視察,しさつ,inspection; observation
資産,しさん,property; fortune; assets
支持,しじ,support
自主,じしゅ,independence; autonomy
自首,じしゅ,surrender; give oneself up
刺繍,ししゅう,embroidery
市場,しじょう,(the) market (as a concept)
辞職,じしょく,resignation
雫,しずく,drop (of water)
システム,システム,system
沈める,しずめる,to sink; to submerge
施設,しせつ,establishment; facility
事前,じぜん,prior; beforehand; in advance
子息,しそく,(hon.) son
持続,じぞく,continuation; endurance
自尊心,じそんしん,self-respect; conceit
慕う,したう,to yearn to adore
下心,したごころ,secret intention; motive
下地,したじ,groundwork; foundation
親しむ,したしむ,to be intimate with; to befriend
下調べ,したしらべ,preliminary investigation
愛想,あいそう,sociability
間柄,あいだがら,relationship
合間,あいま,interval
敢えて,あえて,dare (to do); venture (to do); challenge (to do)
仰ぐ,あおぐ,to look up (to); to respect; to ask for
垢,あか,dirt; filth
赤字,あかじ,deficit; go in the red
明かす,あかす,to reveal; to stay up
赤らむ,あからむ,to become red; to blush
上がり,あがり,ascent; income; completion; stop
諦め,あきらめ,resignation; reconciliation; consolation
アクセル,アクセル,(abbr.) accelerator
あくどい,あくどい,gaudy vicious
顎,あご,chin
憧れ,あこがれ,yearning; longing; aspiration
麻,あさ,hemp
あざ,あざ,birthmark; bruise
浅ましい,あさましい,shameful; mean; despicable
欺く,あざむく,to deceive
鮮やか,あざやか,vivid; clear
嘲笑う,あざわらう,to sneer at; to ridicule
悪しからず,あしからず,don't take me wrong; but...; I'm sorry
味わい,あじわい,flavor; relish
焦る,あせる,to be in a hurry; to be impatient
あせる (いろが～),あせる,to fade; to discolor
値,あたい,value; price; worth
値する,あたいする,to be worth; to deserve
悪化,あっか,deterioration; worsen
扱い,あつかい,treatment; service
呆気ない,あっけない,not enough; too quick (short long etc.)
あっさり,あっさり,easily; readily; quickly
斡旋,あっせん,kind offices; mediation
圧倒,あっとう,overwhelm; overpower
圧迫,あっぱく,pressure; coercion; oppression
あつらえる,あつらえる,to give an order; to place an order
圧力,あつりょく,stress; pressure
当て,あて,expectations; depend
～宛,～あて,for…(e.g. In a letter)
当て字,あてじ,phonetic-equivalent character; substitute character
跡継ぎ,あとつぎ,heir; successor
後回し,あとまわし,putting off; postponing
油絵,あぶらえ,oil painting
アプローチ,アプローチ,approach (in golf)
あべこべ,あべこべ,contrary; opposite; inverse
甘える,あまえる,to behave like a spoiled child; to fawn on
雨具,あまぐ,rain gear
甘口,あまくち,sweet flavor
アマチュア,アマチュア,amateur
網,あみ,net
操る,あやつる,to manipulate; to operate; to pull strings
危ぶむ,あやぶむ,to fear; to have misgivings; to be doubtful
あやふや,あやふや,uncertain; vague; ambiguous
過ち,あやまち,fault; error; indiscretion
誤る,あやまる,to make a mistake
歩み,あゆみ,step; progress; history
歩む,あゆむ,to walk
予め,あらかじめ,in advance; previously
荒らす,あらす,to damage; to invade
争い,あらそい,dispute; quarrel; conflict
改まる,あらたまる,to be renewed; to be formal
荒っぽい,あらっぽい,rough; rude
アラブ,アラブ,Arab
霰,あられ,hail (e.g. falling ice balls)
有り様,ありさま,state; condition
ありのまま,ありのまま,the truth; as it is; frankly
ありふれる,ありふれる,common; ordinary; routine
アルカリ,アルカリ,alkali
アルミ,アルミ,aluminum (Al aluminum)
アワー,アワー,hour
合わす,あわす,to join together; to face; to unite
～合せ,～あわせ,in all
アンコール,アンコール,encore
暗殺,あんさつ,assassination
暗算,あんざん,mental arithmetic
暗示,あんじ,hint; suggestion
案じる,あんじる,to be anxious; to ponder
安静,あんせい,rest
案の定,あんのじょう,sure enough; as usual
いい加減,いいかげん,random; irresponsible
言い訳,いいわけ,excuse; explanation
イェス,イェス,yes; Jesus
家出,いえで,running away from home
生かす,いかす,to keep something alive; to make use of
いかに,いかに,how; in what way
いかにも,いかにも,truly (same as 実に (じつに))
異議,いぎ,objection; dissent; protest
生き甲斐,いきがい,something one lives for; very important
行き違い,いきちがい,misunderstanding; disagreement
意気込む,いきごむ,to be enthusiastic about
育成,いくせい,rearing; training; cultivation
幾多,いくた,many; numerous
"(花を〜) 生ける, 活ける",(はなを～) いける,to arrange (flowers)
異見,いけん,different opinion; objection
意向,いこう,intention; idea; inclination
移行,いこう,switching over to
いざ,いざ,now; come (now); crucial moment
移住,いじゅう,migration; immigration
衣装,いしょう,clothing; costume; outfit
いじる,いじる,to touch; to tamper with
異性,いせい,the opposite sex
遺跡,いせき,historic ruins
依存,いぞん,dependence; dependent; reliance
委託,いたく,consign (goods (for sale) to a firm); entrust
いたって,いたって,very much; exceedingly; extremely
出世,しゅっせ,promotion; successful career; eminence
出題,しゅつだい,proposing a question
出動,しゅつどう,mobilization; action
出費,しゅっぴ,expenses; disbursements
出品,しゅっぴん,exhibit; display
主導,しゅどう,main leadership
主任,しゅにん,person in charge; responsible official
首脳,しゅのう,head; leader
守備,しゅび,defense
手法,しゅほう,technique
樹木,じゅもく,trees and shrubs; arbor
樹立,じゅりつ,establish; create
準急,じゅんきゅう,local express (train slower than an express)
準じる,じゅんじる,to follow; to conform; to apply to
～署,～しょ,department
～症,～しょう,disease
～証,～しょう,proof; certificate
～嬢,～じょう,young woman
上位,じょうい,superior; higher order
上演,じょうえん,art performance
城下,じょうか,land near the castle
消去,しょうきょ,elimination; erasing
上空,じょうくう,sky; high-altitude sky; upper air
衝撃,しょうげき,shock; crash; impact; ballistic
証言,しょうげん,evidence; testimony
証拠,しょうこ,evidence; proof
照合,しょうごう,check; verification
詳細,しょうさい,detail; particulars
上昇,じょうしょう,rising; ascending; climbing
昇進,しょうしん,promotion
称する,しょうする,to take the name of; to call oneself
情勢,じょうせい,state of things; condition; situation
消息,しょうそく,news; letter; circumstances
承諾,しょうだく,consent; agreement
情緒,じょうちょ,emotion; feeling
情緒,じょうしょ,emotion; feeling
象徴,しょうちょう,symbol
小児科,しょうにか,pediatrics
使用人,しようにん,employee; servant
情熱,じょうねつ,passion; enthusiasm; zeal
譲歩,じょうほ,concession; conciliation; compromise
条約,じょうやく,treaty; pact
勝利,しょうり,victory; triumph; win
上陸,じょうりく,landing; disembarkation
蒸溜,じょうりゅう,distillation
奨励,しょうれい,encouragement; promotion
ショー,ショー,show
除外,じょがい,exception; exclusion
職員,しょくいん,staff member; personnel
植民地,しょくみんち,colony
職務,しょくむ,professional duties
諸君,しょくん,Gentlemen!; Ladies!
助言,じょげん,advice; suggestion
徐行,じょこう,going slowly
所在,しょざい,whereabouts
所持,しょじ,possession; owning
所属,しょぞく,attached to; belong to
処置,しょち,treatment
しょっちゅう,しょっちゅう,always; constantly
所定,しょてい,fixed; prescribed
所得,しょとく,income
処罰,しょばつ,punishment
初版,しょはん,first edition
書評,しょひょう,book review
処分,しょぶん,disposal; dealing; punishment
庶民,しょみん,masses; common people
庶務,しょむ,general affairs
所有,しょゆう,one's possessions; ownership
調べ,しらべ,investigation; inspection
自立,じりつ,independence; self-reliance
記す,しるす,to note; to write down
指令,しれい,orders; instructions; directive
～心,～しん,mind of ~
陣,じん,battle formation; camp; encampment
進化,しんか,evolution; progress
人格,じんかく,personality; character
審議,しんぎ,deliberation
新婚,しんこん,newly-wed
審査,しんさ,judging; inspection; examination
人材,じんざい,man of talent
紳士,しんし,gentleman
真実,しんじつ,truth; reality
信者,しんじゃ,believer; devotee
真珠,しんじゅ,pearl
進出,しんしゅつ,advancement
心情,しんじょう,mentality
新人,しんじん,new face; newcomer
神聖,しんせい,holiness; sacredness; dignity
親善,しんぜん,friendship
真相,しんそう,truth; real situation
迅速,じんそく,quick; fast; prompt
人体,じんたい,human body
新築,しんちく,new building; new construction
心中,しんじゅう,double suicide
進呈,しんてい,presentation
進展,しんてん,progress; development
神殿,しんでん,temple; sacred place
進度,しんど,progress
振動,しんどう,oscillation; vibration
新入生,しんにゅうせい,new student; first-year student; freshman
信任,しんにん,trust; confidence; credence
神秘,しんぴ,mystery
辛抱,しんぼう,patience; endurance
人民,じんみん,people; public
侵略,しんりゃく,aggression; invasion; raid
診療,しんりょう,medical examination and treatment
粋,すい,essence
水源,すいげん,source of river
推進,すいしん,propulsion; driving force
吹奏,すいそう,playing wind instruments
推測,すいそく,guess; conjecture
水田,すいでん,(water-filled) paddy field
推理,すいり,reasoning; inference; mystery or detective genre
数詞,すうし,numeral
崇拝,すうはい,worship; adoration
据え付ける,すえつける,to install; to equip; to mount
据える,すえる,to set; to lay; to place
すがすがしい,すがすがしい,fresh; refreshing
救い,すくい,help; aid; relief
すくう (みずを～),すくう (みずを～),to scoop
健やか,すこやか,vigorous; healthy; sound
濯ぐ,すすぐ,to rinse; to wash out
進み,すすみ,progress
裾,すそ,(trouser) cuff; (skirt) hem; cut edge of a hairdo
スタジオ,スタジオ,studio
スチーム,スチーム,steam
ストライキ,ストライキ,strike
スト,スト,(abbr.) strike
ストロー,ストロー,straw
ストロボ,ストロボ,stroboscope (literally: strobo strobe lamp stroboscopic lamp)
すばしこい,すばしこい,nimble; smart; quick
素早い,すばやい,fast; quick
ずばり,ずばり,decisively; unreservedly; frankly
スプリング,スプリング,spring
スペース,スペース,space
ずぶぬれ,ずぶぬれ,soaked; dripping wet
スポーツカー,スポーツカー,sports car
澄ます,すます,to clear; to make clear; to listen for
清ます,すます,to clear; to make clear; to listen for
済ます,すます,to finish; to settle; to do without
すみやか,すみやか,speedy
スラックス,スラックス,slacks
ずらっと,ずらっと,in a line; in a row
ずるずる,ずるずる,dragging on; sound of sniffling
ずれ,ずれ,difference; gap
すれちがい,すれちがい,chance encounter
擦れる,すれる,to rub; to chafe
すんなり,すんなり,pass with no objection; slim; slender
生育,せいいく,growth; development; breeding
成育,せいいく,growth; raising
成果,せいか,results; fruits
正解,せいかい,correct; right answer; solution
正義,せいぎ,justice; right; righteousness
生計,せいけい,livelihood; living
政権,せいけん,(political) administration; political power
星座,せいざ,constellation
制裁,せいさい,restraint; sanctions; punishment
政策,せいさく,political measures; policy
生死,せいし,life and death
静止,せいし,stillness; repose; standing still
誠実,せいじつ,sincere; honest; faithful
成熟,せいじゅく,maturity; ripeness
青春,せいしゅん,youth; springtime of life; adolescent
清純,せいじゅん,purity; innocence
聖書,せいしょ,Bible
正常,せいじょう,normalcy; normality; normal
制する,せいする,to control; to command
整然,せいぜん,orderly; regular; well-organized
盛装,せいそう,be dressed up; wear rich clothes
盛大,せいだい,grand; prosperous; magnificent
清濁,せいだく,good and evil; purity and impurity
制定,せいてい,enactment; establishment; creation
静的,せいてき,static
製鉄,せいてつ,iron manufacture
晴天,せいてん,fine weather
正当,せいとう,just; due; proper
制服,せいふく,uniform
征服,せいふく,conquest; subjugation; overcoming
製法,せいほう,manufacturing method; recipe; formula
精密,せいみつ,precise; exact; detailed; minute
税務署,ぜいむしょ,tax office
制約,せいやく,limitation; constraints
勢力,せいりょく,influence; power; might; strength
整列,せいれつ,stand in a row; form a line
セール,セール,sale
急かす,せかす,to hurry; to urge on
伜,せがれ,son; my son
責務,せきむ,duty; obligation
セクション,セクション,section
世辞,せじ,flattery; compliment
世帯,せたい,household
是正,ぜせい,correction; revision
世代,せだい,generation
切開,せっかい,opening up; cutting through
セックス,セックス,sex
切実,せつじつ,compelling; serious; severe; acute
接触,せっしょく,touch; contact
接続詞,せつぞくし,conjunction
設置,せっち,establishment; institution
折衷,せっちゅう,compromise; cross; blending; eclecticism
設定,せってい,establishment; creation
説得,せっとく,persuasion
切ない,せつない,painful; trying; sad
絶版,ぜっぱん,out of print
設立,せつりつ,establishment; foundation; institution
攻め,せめ,attack; offense
ゼリー,ゼリー,jelly
セレモニー,セレモニー,ceremony
世論,せろん,public opinion
先,せん,priority; precedence; previous
繊維,せんい,fiber; fiber; textile
全快,ぜんかい,complete recovery of health
宣教,せんきょう,religious mission
宣言,せんげん,declaration; proclamation; announcement
戦災,せんさい,war damage
専修,せんしゅう,specialization
戦術,せんじゅつ,tactics
センス,センス,sense (for music style tact etc.)
潜水,せんすい,diving
全盛,ぜんせい,height of prosperity
先代,せんだい,family predecessor; previous age; previous generation
先だって,せんだって,recently; the other day
先着,せんちゃく,first arrival
前提,ぜんてい,preamble; premise; prerequisite
先天的,せんてんてき,inherent; congenital; hereditary
前途,ぜんと,future prospects; outlook; the journey ahead
戦闘,せんとう,battle; fight; combat
潜入,せんにゅう,infiltration; sneaking in
船舶,せんぱく,ship
全滅,ぜんめつ,annihilation
専用,せんよう,exclusive use; personal use
占領,せんりょう,occupation; possession; have a room to oneself
善良,ぜんりょう,goodness; excellence; virtue
戦力,せんりょく,war potential
前例,ぜんれい,precedent
相応,そうおう,suitability; fitness
総会,そうかい,general meeting
創刊,そうかん,launching (e.g. newspaper first issue)
雑木,ぞうき,various kinds of small trees; assorted trees
早急,そうきゅう,urgent
早急,さっきゅう,urgent
増強,ぞうきょう,reinforce; increase
送金,そうきん,remittance; sending money
走行,そうこう,running a wheeled vehicle (e.g. car traveling)
総合,そうごう,synthesis; generalization
捜索,そうさく,search (esp. for someone or something missing investigation)
蔵相,ぞうしょう,Minister of Finance
装飾,そうしょく,ornament
増進,ぞうしん,promoting; increase; advance
相対,そうたい,relative
壮大,そうだい,magnificent; grand; majestic
騒動,そうどう,strife; riot; rebellion
