English,Definition
overtime,extra hours worked beyond the normal working day
overview,a short description of the main points
packet,a small paper or plastic container for goods
pad,a thick soft piece of material used for protection or writing on
painter,an artist who works with colors; a worker who covers walls
pamphlet,a thin book with a paper cover giving information
pan,a flat metal container with a handle used for cooking
pant,trousers; to breathe quickly after hard effort
paperback,a book with a soft cover
paperwork,the written forms and records needed for a job
parade,a public march of people to celebrate something
paralegal,an assistant who helps a lawyer with research and documents
paraphrase,to say or write an idea again using different words
parcel,something wrapped in paper and sent by post
partial,not complete; only some of the whole
partially,not completely; only to some degree
passport,an official document you need to travel to other countries
password,a secret set of letters you type to get into an account
pasta,an Italian food made from flour and water in many shapes
pastry,a mix of flour and fat baked as a crust or as a small sweet cake
patent,the legal right to be the only maker of a new invention
patience,the ability to wait calmly without getting angry
patron,a regular customer of a shop; a person who supports the arts
payable,owed as money and due to be given to someone
paycheck,the money a worker receives regularly from an employer
payroll,the list of workers and the money a company gives them
pedestrian,a person walking on a street rather than driving
penalize,to punish someone for breaking a rule
pepper,a hot powder used to flavor food; a hollow red or green vegetable
performer,a person who acts or sings or plays music for an audience
periodical,a magazine published at regular times
periodically,from time to time; at regular intervals
permanently,for all time; without ending
personalize,to change something so it suits one particular user
pet,an animal kept at home for company
petition,a written request signed by many people asking leaders to act
pharmaceutical,relating to the making and selling of medical drugs
pharmacist,a person trained to prepare and sell medical drugs
pharmacy,a shop where medical drugs are prepared and sold
photocopier,an office machine that reproduces printed pages onto paper
photocopy,to make a paper duplicate of a page using a machine
photographer,a person who takes pictures with a camera
photography,the art and job of taking pictures with a camera
physician,a doctor who treats illness with medicine
physics,the science of matter and energy and how forces work
picnic,a meal eaten outdoors for pleasure
pie,a dish of fruit or meat baked inside pastry
pill,a small round piece of medicine that you swallow
pillow,a soft bag for resting your head on in bed
pizza,a flat round bread baked with cheese and other toppings
placement,the act of putting someone in a job or course; a work position
planner,a person who prepares future arrangements; a book for dates
plausible,seeming reasonable and likely to be true
plow,a farm tool that turns over soil before seeds are sown
plug,a device on a wire that fits into a socket for electric power
plumber,a worker who fits and repairs water pipes
pole,a long thin round piece of wood or metal; the far north or south point
polish,to rub a surface until it shines
polite,showing good manners and respect for others
pollute,to make air or water or land dirty and unsafe
poorly,badly; not to a good standard
popcorn,a snack of maize grains that burst open when heated
popularity,the state of being liked by many people
portable,light and easy to carry from one place to another
portfolio,a set of work samples shown to employers; a range of investments
postage,the money paid to send a letter or parcel
postal,relating to the sending of letters and parcels
postcard,a stiff piece of paper with a picture sent without an envelope
poster,a large printed sheet put on a wall to advertise or decorate
postpone,to move an event to a later time
pottery,objects shaped from clay and baked hard
precede,to come before something else in time or order
prediction,a statement about what you think will happen later
preliminary,coming before the main part and preparing for it
premium,an amount paid for insurance; of very high quality
prescribe,to tell a sick person which medicine to take
prescription,a doctor's written order for medicine
presenter,a person who shows information to an audience or on television
prestigious,highly respected and admired by many
preview,a showing of a film or product before it is open to everyone
probable,likely to happen or to be true
productive,doing or making a lot in the time available
productivity,the rate at which work is done or goods are made
professionally,in a skilled way expected at work; as a paid job
proficiency,a good level of skill in doing something
profitable,making money for a business
programmer,a person who writes instructions for computers
prohibit,to forbid something by law or rule
projection,an estimate of a future amount; an image thrown onto a screen
projector,a machine that throws an image onto a screen or wall
prominent,important and well known; easy to see
promotional,used to advertise a product or service
promptly,quickly and without delay; exactly on time
proofread,to check written work for mistakes before it is printed
prospective,likely to become something in the future; possible
protective,keeping someone or something safe from harm
provider,a company or person that supplies a service
publicity,attention given to a person or product by the media
publicize,to make something widely known through the media
publish,to produce a book or article and offer it to readers
punctual,arriving or happening exactly at the right time
purchaser,a person who buys something
purse,a small bag for money or for a woman's things
purser,the officer on a ship or plane in charge of money and passengers
puzzle,a game that needs thought to solve; to confuse someone
quarterly,happening four times a year
query,a question asked to get information; to ask about something
questionnaire,a printed form with items to answer used to gather facts
quit,to stop doing something; to leave a job
rack,a frame with bars or shelves for holding things
railway,a track of metal lines on which trains run
raincoat,a light garment worn to stay dry in wet weather
rainfall,the amount of water that comes down from the sky in an area
rainy,with a lot of water coming down from the sky
ray,a narrow line of light or heat
realistic,sensible about what can be done; showing life as it truly is
realtor,a person whose job is selling houses and land
rearrange,to put things in a different order
reassure,to say something to make a worried person feel calm
rebate,money given back to you after you have paid too much
receipt,a paper that shows you have paid for goods
reception,the desk near the entrance of a hotel or office; a formal party
receptionist,a person who greets visitors at the front desk of a building
recession,a period when business and trade get much weaker
recipe,a set of instructions for cooking a dish
recipient,a person who gets something that is given or sent
reconsider,to think about a decision again and maybe change it
recreation,activities you do for fun in your free time
recreational,relating to enjoyable activities done in free time
recruiter,a person whose job is finding new staff for a company
recruitment,the process of finding and hiring new staff
recur,to happen again after a period of time
recycle,to treat used materials so they can be made into new things
redecorate,to paint and improve the inside of a room again
redesign,to plan the shape or layout of something in a new way
referee,a person who controls a sports match and applies the rules
referral,the sending of a person to an expert for help or advice
refinery,a factory where oil or sugar is made pure
reflexive,done automatically without thinking; in grammar pointing back to the doer
refresh,to make someone feel cool and full of energy; to update a screen
refreshment,food and drink served at a meeting or event
refrigerator,a cold cupboard that keeps food from going bad
refund,money given back for goods you return
refundable,able to be paid back to you if you change your mind
rehearsal,a practice of a play or concert before the real show
rehearse,to practice a play or music before performing it
reimburse,to pay money back to someone who has spent it for you
reimbursement,the paying back of money that someone has spent for you
reinforce,to make something stronger or more solid
relaxation,rest and freedom from worry; time spent doing calm things
reliability,the quality of always working well and being able to be trusted
relieve,to make pain or worry less
relocate,to move to a new place to live or work
relocation,a move to a new place to live or work
reluctant,not wanting to do something; slow to agree
remainder,the part that is left after the rest is used or taken
reminder,something that helps you not forget
remodel,to change the shape or structure of a room or building
removal,the act of taking something away
renew,to make a contract or license last for more time; to give fresh life to
renewal,the act of making a contract continue for more time
renovate,to repair and improve an old building
renovation,the repair and improvement of an old building
renown,fame for doing something very well
rental,an amount paid to use a car or flat for a time; a thing hired out
renter,a person who pays money to use a home or car owned by someone else
reopen,to start working again after a period of being closed
repairperson,a worker whose job is to fix broken machines or things
repeatedly,again and again over a period of time
repetition,the act of doing or saying the same thing again
replacement,a person or thing that takes the place of another
reproduce,to make a copy of something; to make new young plants or animals
reschedule,to change the time of a planned event
resemble,to look like or be similar to someone or something
reservation,an arrangement that keeps a table room or seat for you; a doubt about a plan
residence,the place where someone lives
residential,having houses where people live rather than shops or factories
resignation,the act of leaving a job by choice; a letter saying you will leave
respondent,a person who answers questions in a survey or a legal case
restatement,the act of saying something again in a clearer way
restroom,a room with toilets in a public building
resume,to start again after a pause
retailer,a shop or business that sells goods to the public
retreat,to move back away from danger; a quiet trip for rest and planning
retrieve,to get something back from where it was put or lost
reunion,a meeting of people who have not seen each other for a long time
reviewer,a person who writes an opinion about a book film or product
revision,a change made to improve a text or plan; study of past lessons
revolutionize,to change something completely and in a new way
rewrite,to put something into words again in a better form
rider,a person who sits on and controls a horse bicycle or motorbike
rubber,a strong stretchy material used for tyres and gloves
rug,a thick piece of cloth used to cover part of a floor
rumor,a story that people tell that may not be true
runner,a person who moves fast on foot for sport or in a race
résumé,a short written record of your education and work history
safely,in a way that avoids harm or danger
salad,a cold dish of raw vegetables
salesman,a man whose job is to persuade people to buy goods
salespeople,workers who deal with customers and get them to buy things
salesperson,a worker of either sex whose job is to persuade customers to buy
salon,a shop where people have their hair or nails done
sandwich,two pieces of bread with a filling between them
satellite,a machine sent into space to circle the earth; a body going round a planet
satisfactory,good enough but not very good
sauna,a hot steamy room where people sit to relax
scarf,a long piece of cloth worn around the neck or head
scenery,the natural features of an area such as hills and trees
scholarship,money given to a student to pay for study
sculpture,a solid work of art carved or shaped from stone metal or wood
seafood,fish and shellfish that people eat
seaside,the land next to the ocean where people go on holiday
seasonal,happening only at one time of the year
sedan,a normal car with four doors and a separate luggage space
seeker,a person who is trying to find or get something
seldom,not often; almost never
seller,a person or company that offers goods for money
semester,one of two main study periods in a school year
seminar,a short class or meeting where a topic is studied and discussed
sender,the person that a letter or email comes from
separately,not together; one at a time
serial,coming one after another in a fixed order; a story told in parts
sew,to join cloth using a needle and thread
sewer,a large underground pipe that carries waste water away
sharply,suddenly and by a large amount; in a harsh voice
shipment,a load of goods sent from one place to another
shopper,a person who buys things in stores
shortage,a situation when there is not enough of something
shorten,to make something smaller in length or take less time
shortly,very soon; in a little while
showroom,a large space where goods such as cars are put on display
shuttle,a bus or train that goes back and forth between two places
sidewalk,a hard path next to a street for people on foot
sightsee,to visit famous places as a tourist
signature,your name written by you in your own way
signify,to have a particular meaning; to be important
silently,without making any sound
similarity,a way in which two things are alike
simplify,to make something easier to do or understand
sincerely,in an honest and truly felt way
skate,to move over ice or ground on boots with blades or wheels
skateboard,a narrow plank on small wheels that you stand on to ride along
sketch,a quick rough drawing; a short funny scene in a show
skim,to read quickly to get the main idea; to take off a top layer
sleepy,feeling tired and ready to rest
sleeve,the part of a shirt or coat that covers your arm
slot,a narrow opening for putting things in; a time given in a plan
smartphone,a small mobile device for calls apps and the internet
smoothly,without problems or sudden changes
snack,a small amount of food eaten between meals
snowy,with a lot of soft white flakes falling or lying on the ground
soap,a substance used with water for washing
soar,to rise quickly to a high level; to fly high in the air
soccer,a game where two teams kick a ball into a goal
sock,a soft covering for your foot worn inside a shoe
sofa,a long soft seat for two or more people
someday,at an unknown time in the future
sometime,at a point later on that is not yet fixed
soup,a hot liquid food made from vegetables or meat
spa,a place where people relax in special baths or have treatments
spacious,having a lot of room inside
spam,unwanted email sent to many people at once
specially,for one particular purpose only
specialty,a thing a person or place is very good at; a favorite dish
specification,a detailed description of how something must be made
spectator,a person who watches a game or event
spill,to let liquid fall out of a container by accident
spite,a wish to hurt or annoy someone for no good reason
spokesperson,someone chosen to give the views of a group to the public
spouse,a husband or wife
spray,to send out liquid in tiny drops; liquid pushed out in tiny drops
spreadsheet,a computer program with rows and columns for numbers
stack,a neat pile of things one on top of another; to pile things up
stadium,a large building with seats around a sports field
staple,a small metal pin that holds sheets of paper together
stapler,a tool that pushes metal pins through sheets of paper
stationery,paper pens and other things used for writing
statistics,numbers that give facts about something; the study of such numbers
statue,a figure of a person or animal made of stone or metal
steadily,at an even rate without stopping or changing
steak,a thick flat piece of beef or fish for cooking
steer,to control the direction of a car or boat
stereo,sound equipment that plays music through two speakers
sticker,a small piece of paper with glue on the back
stimulus,something that causes a reaction or growth
stockbroker,a person who buys and sells shares for other people
stockholder,a person who owns part of a company
storeroom,a space used for keeping goods and supplies
strategic,planned carefully to reach an important long-term goal
streamline,to make a process simpler and more efficient
strictly,in a way that must be obeyed exactly
stripe,a long narrow band of color on a surface
submission,the act of sending in a form or piece of work; giving in to power
subscribe,to pay to get a magazine or service regularly
subscriber,a person who pays regularly to get a service or magazine
subscription,an agreement to pay regularly for a service or magazine
subsidize,to pay part of the cost of something so it is cheaper
substantially,by a large amount; very much
subtract,to take one number away from another
suburb,an area of houses outside the center of a city
subway,an underground railway in a city
sue,to take someone to court to claim money
suitcase,a large bag with a handle for carrying clothes when traveling
suite,a set of rooms in a hotel; a set of programs sold together
sunny,bright and clear with no clouds
sunscreen,a cream that protects skin from burning rays
sunshine,the bright light and warmth that reach us in clear weather
superb,extremely good; of very high quality
superior,better than others; a person of higher rank at work
supermarket,a large shop that sells food and household goods
supervise,to watch over people to check that work is done well
supervisor,a person in charge of workers and their tasks
surf,to ride on waves on a board; to look at many websites quickly
suspicious,feeling that something is wrong; making people feel doubt
sweater,a warm knitted piece of clothing for the upper body
tablecloth,a large piece of fabric spread over a dining surface for a meal
tablet,a small flat computer with a touch screen; a small round pill
tactic,a planned action used to reach a goal
tag,a small label giving the price or name of something
tailor,a person who makes and repairs clothes to fit a customer
takeover,the act of one company taking control of another
taker,a person who accepts an offer or receives something
tasty,having a good flavour; nice to eat
tech,the use of science to make useful machines and tools
technician,a worker skilled in fixing and running machines
teen,a young person between thirteen and nineteen years old
telecommunication,the sending of messages over long distances by phone or internet
teller,a bank worker who takes in and pays out money
temporarily,for a short time only; not for ever
tempt,to make someone want to do or have something
tenant,a person who rents a home or office from the owner under an agreement
terminal,a building where travelers get on planes or buses; a computer screen and keys
terminate,to bring something to an end
termination,the ending of a contract or job
terrific,very good; excellent
textbook,a printed study guide used for a subject at school or college
theft,the crime of taking something that is not yours
thirsty,needing or wanting to drink
thorough,done completely with attention to every detail
thoroughly,completely and with great care
thrill,a sudden strong feeling of excitement
thunderstorm,bad weather with heavy rain loud noise and flashes of light
tidy,neat and with everything in its right place
tile,a flat square piece used to cover a wall floor or roof
timeline,a plan showing the order and dates of events
timely,happening at just the right moment
timer,a device that counts minutes and rings when they are over
timetable,a list showing when buses trains or classes start
toiletry,a product such as soap used for washing the body
toll,money paid to use a road or bridge; the number of people harmed
tomato,a soft round red fruit eaten in salads and sauces
ton,a unit of weight equal to about a thousand kilograms
toner,a colored powder used in printers; a liquid for cleaning the face
tow,to pull a car or boat behind another vehicle
towel,a cloth used for drying your body or hands
trademark,a name or sign that only one company may legally use
traditionally,in the way that has been usual for a long time
trainee,a person who is learning to do a job
trainer,a person who teaches skills for a job or sport
transaction,a piece of business such as buying or paying
transit,the movement of goods or people from place to place; a city bus network
translation,words changed into another language
translator,a person who turns writing into another language
transmission,the sending of signals or power from one place to another
transmit,to send out signals or pass something on
trash,waste material to be thrown away; things of no value
traveler,a person who goes from one place to another on a trip
tray,a flat object with raised edges for carrying food or drinks
tremendous,very large or very great; extremely good
tropical,from or like the hot wet areas near the equator
tuition,the money paid for teaching at a school or college; lessons given
tuna,a large sea fish often sold in tins
tunnel,a long passage dug under the ground or through a hill
turnover,the total money a business takes in; the rate at which staff leave
umbrella,a folding cover on a stick that keeps rain off you
unattended,left alone with nobody watching or caring for it
unavailable,not able to be used or seen; too busy to meet you
uncomfortable,not pleasant to wear sit in or feel; slightly worried
underground,below the surface of the earth; a city railway beneath streets
underline,to draw a mark below a word; to show that something is important
underway,already started and making progress
unemployed,without a paid job
unexpected,surprising because nobody thought it would happen
unfamiliar,not known to you; strange because you have not met it before
unhappy,sad; not pleased about something
unlimited,with no fixed end or maximum amount
unload,to take goods off a truck or ship
unnecessary,not needed
unpaid,not yet settled with money; done without wages
unpleasant,not nice; causing a bad feeling
unplug,to pull a wire out of an electric socket
unreal,seeming false or like a dream; hard to believe
unreliable,often failing or arriving late so you cannot depend on it
unspecified,not named or stated exactly
unsure,not certain about something
unused,not yet put to any purpose; still new
unusually,more than is normal; in a strange way
upcoming,going to happen soon
upgrade,to change to a better or newer model or class
upstairs,on or to a higher floor of a building
urgent,needing action very quickly
urgently,in a way that shows something must be dealt with at once
usage,the amount of something that is used; the normal way a word is applied
utility,a service such as water gas or electricity; usefulness
vacancy,a job or room that is free and can be taken
vacant,empty and not being lived in or used
vacate,to leave a room or building so others can use it
vacation,a period of time away from work or school for rest
vacuum,a machine that cleans floors by sucking up dust; a space with no air
valid,legally able to be used; based on good reasons
validate,to make something officially acceptable; to prove that it is correct
vanilla,a sweet flavour used in ice cream and cakes
vase,a container for holding cut flowers
vegetarian,a person who does not eat meat or fish
vend,to sell goods especially from a machine
vendor,a firm or person that supplies goods or services to buyers
venue,the place where an event or meeting is held
verbal,using spoken words rather than writing
verify,to check that something is true or correct
videoconference,a meeting held by live screen and sound between distant places
violate,to break a rule law or agreement
violation,the act of breaking a rule or law
violin,a small wooden musical instrument played with a bow
visa,an official mark in a passport allowing you to enter a country
vitamin,a natural substance in food needed for good health
volleyball,a team game played by hitting a light round object over a high net
voucher,a paper that lets you buy something at a lower price
waiter,a man who serves food at tables in a restaurant
waitress,a woman who serves food at tables in a restaurant
waive,to give up a right or payment on purpose
walkway,a path made for people on foot in or between buildings
wallet,a small flat case for carrying money and cards
ward,a large room in a hospital for patients; a city area for voting
warehouse,a large building for storing goods
warranty,a written promise to fix a product if it breaks
webpage,one screen of information on a site on the internet
weekday,any day from Monday to Friday when most people work
wellness,the state of being healthy in body and mind
whale,a very large sea animal that breathes air
wheelchair,a special seat on rollers used by a person who cannot walk
whoever,any person who does a thing; no matter which person
wildlife,animals and plants in nature that are not kept by people
willingness,being ready and happy to do something
windy,with a lot of air moving quickly outside
wireless,working without cables to carry signals
wisely,in a way that shows good sense and judgment
withdrawal,the taking of money out of a bank; moving back or away
wool,the soft hair of sheep used to make cloth
workbook,a study pad with exercises and spaces for writing answers
workforce,all the people employed by a company or in a country
workplace,the office or factory where a person does a job
workshop,a class where people learn by doing; a room with tools for repairs
worldwide,in or across every part of the earth
worthwhile,important or useful enough to be given time or money
wrinkle,a small line or fold in skin or cloth
wristwatch,a small clock worn on a strap around the arm
yearly,happening once every twelve months
yen,the money used in Japan
yoga,a set of gentle exercises and breathing for body and mind
zoo,a park where wild animals are kept for people to see
